ID: 2    Token: WORLD            Lexema: world                 Línea: 9  Columna: 1
ID: 41   Token: STRING           Lexema: string                Línea: 9  Columna: 7
ID: 53   Token: IDENT            Lexema: banner                Línea: 9  Columna: 14
ID: 47   Token: ASSIGN           Lexema: =                     Línea: 9  Columna: 21
ID: 57   Token: STRING_LIT       Lexema: "=== CALCULADORA ==="  Línea: 9  Columna: 23
ID: 4    Token: ENDL             Lexema: endl                  Línea: 9  Columna: 45
ID: 35   Token: GIFT             Lexema: gift                  Línea: 11  Columna: 1
ID: 42   Token: BOOLEAN          Lexema: bool                  Línea: 11  Columna: 6
ID: 53   Token: IDENT            Lexema: isEven                Línea: 11  Columna: 11
ID: 48   Token: LPAR             Lexema: ¿                     Línea: 11  Columna: 18
ID: 38   Token: INT              Lexema: int                   Línea: 11  Columna: 20
ID: 53   Token: IDENT            Lexema: n                     Línea: 11  Columna: 24
ID: 49   Token: RPAR             Lexema: ?                     Línea: 11  Columna: 26
ID: 50   Token: LBRACE           Lexema: ¡                     Línea: 11  Columna: 28
ID: 31   Token: RETURN           Lexema: return                Línea: 12  Columna: 5
ID: 48   Token: LPAR             Lexema: ¿                     Línea: 12  Columna: 12
ID: 53   Token: IDENT            Lexema: n                     Línea: 12  Columna: 14
ID: 10   Token: MOD              Lexema: %                     Línea: 12  Columna: 16
ID: 54   Token: INT_LIT          Lexema: 2                     Línea: 12  Columna: 18
ID: 18   Token: EQ               Lexema: ==                    Línea: 12  Columna: 20
ID: 54   Token: INT_LIT          Lexema: 0                     Línea: 12  Columna: 23
ID: 49   Token: RPAR             Lexema: ?                     Línea: 12  Columna: 25
ID: 4    Token: ENDL             Lexema: endl                  Línea: 12  Columna: 27
ID: 51   Token: RBRACE           Lexema: !                     Línea: 13  Columna: 1
ID: 37   Token: COAL             Lexema: coal                  Línea: 15  Columna: 1
ID: 36   Token: NAVIDAD          Lexema: navidad               Línea: 15  Columna: 6
ID: 48   Token: LPAR             Lexema: ¿                     Línea: 15  Columna: 14
ID: 49   Token: RPAR             Lexema: ?                     Línea: 15  Columna: 16
ID: 50   Token: LBRACE           Lexema: ¡                     Línea: 15  Columna: 18
ID: 3    Token: LOCAL            Lexema: local                 Línea: 16  Columna: 5
ID: 38   Token: INT              Lexema: int                   Línea: 16  Columna: 11
ID: 53   Token: IDENT            Lexema: op                    Línea: 16  Columna: 15
ID: 47   Token: ASSIGN           Lexema: =                     Línea: 16  Columna: 18
ID: 54   Token: INT_LIT          Lexema: 0                     Línea: 16  Columna: 20
ID: 4    Token: ENDL             Lexema: endl                  Línea: 16  Columna: 22
ID: 3    Token: LOCAL            Lexema: local                 Línea: 17  Columna: 5
ID: 39   Token: FLOAT            Lexema: float                 Línea: 17  Columna: 11
ID: 53   Token: IDENT            Lexema: a                     Línea: 17  Columna: 17
ID: 47   Token: ASSIGN           Lexema: =                     Línea: 17  Columna: 19
ID: 55   Token: FLOAT_LIT        Lexema: 0.0                   Línea: 17  Columna: 21
ID: 4    Token: ENDL             Lexema: endl                  Línea: 17  Columna: 25
ID: 3    Token: LOCAL            Lexema: local                 Línea: 18  Columna: 5
ID: 39   Token: FLOAT            Lexema: float                 Línea: 18  Columna: 11
ID: 53   Token: IDENT            Lexema: b                     Línea: 18  Columna: 17
ID: 47   Token: ASSIGN           Lexema: =                     Línea: 18  Columna: 19
ID: 55   Token: FLOAT_LIT        Lexema: 0.0                   Línea: 18  Columna: 21
ID: 4    Token: ENDL             Lexema: endl                  Línea: 18  Columna: 25
ID: 3    Token: LOCAL            Lexema: local                 Línea: 19  Columna: 5
ID: 39   Token: FLOAT            Lexema: float                 Línea: 19  Columna: 11
ID: 53   Token: IDENT            Lexema: res                   Línea: 19  Columna: 17
ID: 47   Token: ASSIGN           Lexema: =                     Línea: 19  Columna: 21
ID: 55   Token: FLOAT_LIT        Lexema: 0.0                   Línea: 19  Columna: 23
ID: 4    Token: ENDL             Lexema: endl                  Línea: 19  Columna: 27
ID: 3    Token: LOCAL            Lexema: local                 Línea: 20  Columna: 5
ID: 42   Token: BOOLEAN          Lexema: bool                  Línea: 20  Columna: 11
ID: 53   Token: IDENT            Lexema: par                   Línea: 20  Columna: 16
ID: 47   Token: ASSIGN           Lexema: =                     Línea: 20  Columna: 20
ID: 56   Token: BOOL_LIT         Lexema: false                 Línea: 20  Columna: 22
ID: 4    Token: ENDL             Lexema: endl                  Línea: 20  Columna: 28
ID: 33   Token: SHOW             Lexema: show                  Línea: 22  Columna: 5
ID: 53   Token: IDENT            Lexema: banner                Línea: 22  Columna: 10
ID: 4    Token: ENDL             Lexema: endl                  Línea: 22  Columna: 17
ID: 27   Token: LOOP             Lexema: loop                  Línea: 24  Columna: 5
ID: 33   Token: SHOW             Lexema: show                  Línea: 25  Columna: 9
ID: 57   Token: STRING_LIT       Lexema: "Menu: 1=+, 2=-, 3=*, 4=/, 0=salir"  Línea: 25  Columna: 14
ID: 4    Token: ENDL             Lexema: endl                  Línea: 25  Columna: 50
ID: 33   Token: SHOW             Lexema: show                  Línea: 26  Columna: 9
ID: 57   Token: STRING_LIT       Lexema: "Operacion:"          Línea: 26  Columna: 14
ID: 4    Token: ENDL             Lexema: endl                  Línea: 26  Columna: 27
ID: 34   Token: GET              Lexema: get                   Línea: 27  Columna: 9
ID: 53   Token: IDENT            Lexema: op                    Línea: 27  Columna: 13
ID: 4    Token: ENDL             Lexema: endl                  Línea: 27  Columna: 16
ID: 23   Token: DECIDE           Lexema: decide                Línea: 29  Columna: 9
ID: 24   Token: OF               Lexema: of                    Línea: 29  Columna: 16
ID: 53   Token: IDENT            Lexema: op                    Línea: 30  Columna: 13
ID: 19   Token: NE               Lexema: !=                    Línea: 30  Columna: 16
ID: 54   Token: INT_LIT          Lexema: 0                     Línea: 30  Columna: 19
ID: 52   Token: ARROW            Lexema: ->                    Línea: 30  Columna: 21
ID: 50   Token: LBRACE           Lexema: ¡                     Línea: 30  Columna: 24
ID: 33   Token: SHOW             Lexema: show                  Línea: 31  Columna: 17
ID: 57   Token: STRING_LIT       Lexema: "a (float):"          Línea: 31  Columna: 22
ID: 4    Token: ENDL             Lexema: endl                  Línea: 31  Columna: 35
